seccion,longitud,latitud
250,-99.2364,19.5442
259,-99.2316,19.6081
6461,-99.5974,19.3539
260,-99.2280,19.6048
265,-99.2280,19.5996
266,-99.2291,19.6028
267,-99.2312,19.6042
268,-99.2317,19.6061
2510,-99.5917,19.2608
269,-99.2331,19.6035
291,-99.2315,19.6023
293,-99.2301,19.5968
311,-99.2583,19.5820
312,-99.2508,19.5849
315,-99.2340,19.5889
321,-99.2339,19.5816
322,-99.2371,19.5782
325,-99.2514,19.5776
326,-99.2526,19.5764
327,-99.2555,19.5785
3249,-99.0390,19.4242
328,-99.2627,19.5749
3250,-99.0407,19.4247
329,-99.2738,19.5690
330,-99.2731,19.5570
3404,-99.0364,19.4020
332,-99.2635,19.5614
333,-99.2577,19.5618
334,-99.2556,19.5665
3623,-99.0067,19.3792
335,-99.2550,19.5738
3529,-98.9989,19.4019
336,-99.2488,19.5669
337,-99.2499,19.5716
338,-99.2514,19.5741
339,-99.2479,19.5722
3551,-99.0028,19.3988
345,-99.2269,19.5777
353,-99.2464,19.5744
356,-99.2580,19.5569
3554,-99.0061,19.4004
358,-99.2514,19.5643
359,-99.2521,19.5614
360,-99.2456,19.5694
362,-99.2403,19.5654
372,-99.2420,19.5595
3557,-98.9979,19.3939
373,-99.2471,19.5590
374,-99.2498,19.5558
376,-99.2614,19.5537
380,-99.2505,19.5518
382,-99.2441,19.5540
383,-99.2410,19.5568
385,-99.2387,19.5616
3654,-98.9826,19.3889
386,-99.2332,19.5603
3675,-98.9772,19.3767
388,-99.2329,19.5575
389,-99.2359,19.5594
390,-99.2387,19.5549
393,-99.2340,19.5529
395,-99.2295,19.5503
397,-99.2326,19.5468
398,-99.2356,19.5485
3676,-98.9783,19.3772
399,-99.2513,19.5437
401,-99.2473,19.5383
402,-99.2458,19.5405
405,-99.2371,19.5384
407,-99.2392,19.5360
408,-99.2414,19.5369
410,-99.2456,19.5344
3697,-98.9786,19.3716
411,-99.2520,19.5314
581,-99.0838,19.6455
3452,-99.0106,19.4097
3453,-99.0080,19.4084
3456,-99.0091,19.4068
3053,-98.9959,19.4157
3085,-99.0123,19.4130
3086,-99.0100,19.4118
3104,-99.0188,19.4114
1662,-99.0397,19.5166
812,-99.1971,19.6431
1663,-99.0375,19.5173
3458,-99.0217,19.4103
3481,-99.0113,19.4003
836,-99.2078,19.6406
3251,-99.0426,19.4252
3252,-99.0444,19.4257
3253,-99.0462,19.4261
3254,-99.0480,19.4266
3255,-99.0496,19.4270
3256,-99.0511,19.4274
3257,-99.0526,19.4277
3258,-99.0544,19.4238
3259,-99.0528,19.4236
3260,-99.0513,19.4231
3261,-99.0500,19.4223
3283,-99.0344,19.4342
1496,-99.0809,19.5069
1552,-99.0324,19.5330
1626,-99.0222,19.5135
3306,-99.0241,19.4191
523,-99.1015,19.6305
543,-99.0780,19.6525
545,-99.0810,19.6500
551,-99.0961,19.6514
602,-99.0873,19.6348
3307,-99.0263,19.4198
605,-99.1078,19.6295
607,-99.0940,19.6312
616,-99.0928,19.6235
3308,-99.0273,19.4179
3309,-99.0290,19.4196
3310,-99.0309,19.4208
702,-99.2211,19.6895
704,-99.2113,19.6896
716,-99.2147,19.6811
3311,-99.0314,19.4193
736,-99.2234,19.6759
762,-99.2269,19.6701
764,-99.2145,19.6688
765,-99.2093,19.6685
767,-99.2089,19.6644
768,-99.2126,19.6660
769,-99.2147,19.6664
770,-99.2173,19.6674
781,-99.2120,19.6619
782,-99.2141,19.6598
783,-99.2160,19.6583
785,-99.2115,19.6557
786,-99.2153,19.6552
791,-99.2173,19.6510
788,-99.2183,19.6564
810,-99.1988,19.6458
792,-99.2143,19.6529
793,-99.2113,19.6512
794,-99.2103,19.6533
795,-99.2066,19.6521
796,-99.2009,19.6527
797,-99.1992,19.6488
798,-99.2026,19.6464
799,-99.2122,19.6495
800,-99.2167,19.6485
801,-99.2216,19.6504
803,-99.2264,19.6453
804,-99.2224,19.6458
805,-99.2223,19.6432
806,-99.2161,19.6436
807,-99.2112,19.6482
809,-99.2109,19.6454
813,-99.2020,19.6421
814,-99.2059,19.6441
816,-99.2114,19.6407
817,-99.2156,19.6392
818,-99.2191,19.6390
819,-99.2201,19.6392
820,-99.2245,19.6414
821,-99.2260,19.6413
822,-99.2274,19.6395
823,-99.2288,19.6364
824,-99.2355,19.6401
827,-99.2452,19.6304
837,-99.1995,19.6364
838,-99.1967,19.6411
839,-99.1959,19.6390
852,-99.2063,19.6302
858,-99.2310,19.6244
863,-99.2028,19.6263
865,-99.2009,19.6227
876,-99.2370,19.6203
880,-99.2416,19.6170
891,-99.1912,19.6020
892,-99.1932,19.5998
899,-99.1938,19.5950
901,-99.1875,19.5959
1632,-99.0251,19.5121
1333,-99.0448,19.6045
1343,-99.0506,19.5929
1261,-98.9830,19.3833
1265,-98.9713,19.3785
1302,-99.0498,19.5996
1331,-99.0515,19.6051
1332,-99.0469,19.6020
1330,-99.0562,19.6073
1334,-99.0414,19.6019
1340,-99.0566,19.5986
1341,-99.0509,19.5959
1342,-99.0483,19.5951
1344,-99.0575,19.5911
1345,-99.0485,19.5923
1420,-99.0583,19.5172
1424,-99.0603,19.5162
1460,-99.0448,19.4993
1493,-99.0887,19.5102
1494,-99.0861,19.5091
1510,-99.0464,19.5669
1516,-99.0508,19.5677
3505,-99.0255,19.3974
3506,-99.0236,19.3965
1544,-99.0155,19.5259
1594,-99.0447,19.5310
1619,-99.0329,19.5201
1636,-99.0306,19.5166
1715,-99.0224,19.4952
3312,-99.0385,19.4196
1837,-99.0344,19.5973
1838,-99.0340,19.5942
1854,-99.0361,19.5809
1856,-99.0437,19.5759
1857,-99.0429,19.5823
1906,-99.0352,19.5493
3333,-99.0291,19.4114
2511,-99.5879,19.2603
3334,-99.0308,19.4123
1992,-99.3747,19.3469
1993,-99.3511,19.3603
1994,-99.3483,19.3636
1995,-99.3413,19.3622
1996,-99.3529,19.3530
2530,-99.6114,19.2537
2008,-99.2700,19.4156
3046,-99.0128,19.4223
2034,-99.3043,19.3887
3336,-99.0351,19.4143
2018,-99.2684,19.4129
2531,-99.6011,19.2505
2019,-99.2733,19.4068
2020,-99.2749,19.4125
2022,-99.2777,19.4129
2023,-99.2784,19.4087
2024,-99.2866,19.4042
2029,-99.3195,19.3971
2028,-99.2940,19.4071
2042,-99.2808,19.3880
3049,-99.0091,19.4174
2044,-99.2842,19.3858
2039,-99.2826,19.3903
2040,-99.2768,19.3869
2052,-99.2893,19.3775
2046,-99.2815,19.3846
2047,-99.2850,19.3832
2048,-99.2815,19.3828
2049,-99.2836,19.3813
2050,-99.2870,19.3796
2051,-99.2879,19.3781
2054,-99.2928,19.3760
2055,-99.2940,19.3756
2057,-99.3307,19.3738
2060,-99.3623,19.3661
2067,-99.3695,19.3255
2066,-99.3434,19.3359
3341,-99.0367,19.4127
2076,-98.8792,19.3434
3342,-99.0351,19.4119
2110,-98.9267,19.3159
2122,-98.9378,19.3155
2163,-98.9392,19.3247
2156,-98.8695,19.3594
3080,-99.0149,19.4168
3081,-99.0173,19.4180
2591,-99.2428,19.4722
3343,-99.0334,19.4111
3345,-99.0307,19.4098
3346,-99.0295,19.4092
3082,-99.0179,19.4156
2488,-99.5951,19.2655
2464,-99.6045,19.2833
2465,-99.5986,19.2853
2466,-99.5883,19.2848
2467,-99.5903,19.2857
2469,-99.5696,19.2846
2470,-99.5718,19.2756
2472,-99.5900,19.2786
2474,-99.5976,19.2819
2476,-99.6044,19.2780
2477,-99.5969,19.2752
2478,-99.5958,19.2745
2480,-99.5843,19.2716
2481,-99.5924,19.2729
2482,-99.5967,19.2728
2483,-99.5920,19.2718
2484,-99.5916,19.2698
2485,-99.5946,19.2695
2486,-99.5997,19.2703
2487,-99.5963,19.2681
2490,-99.6097,19.2643
2498,-99.6283,19.2697
2499,-99.6343,19.2673
2500,-99.6432,19.2634
2501,-99.6411,19.2601
2502,-99.6359,19.2626
2503,-99.6297,19.2636
2504,-99.6243,19.2633
2505,-99.6148,19.2647
2506,-99.5992,19.2634
2507,-99.5968,19.2642
2508,-99.5957,19.2615
2512,-99.5758,19.2627
2513,-99.5630,19.2544
2515,-99.5865,19.2588
2516,-99.5924,19.2586
2517,-99.5941,19.2590
2518,-99.5967,19.2602
2519,-99.5993,19.2598
2520,-99.5973,19.2571
2521,-99.6115,19.2571
2526,-99.6379,19.2560
2527,-99.6348,19.2554
2528,-99.6267,19.2546
2529,-99.5979,19.2543
2532,-99.5904,19.2479
2533,-99.5899,19.2403
2534,-99.6070,19.2490
2536,-99.6317,19.2502
2537,-99.6292,19.2487
2539,-99.6261,19.2369
2543,-99.5656,19.2292
2544,-99.6000,19.2336
3084,-99.0143,19.4139
2548,-99.6331,19.2215
2576,-99.2352,19.4803
2579,-99.2386,19.4762
2581,-99.2400,19.4756
2573,-99.2418,19.4781
2599,-99.2429,19.4703
2600,-99.2438,19.4688
2618,-99.2408,19.4596
2686,-99.2542,19.4309
2687,-99.2494,19.4327
2688,-99.2482,19.4338
2692,-99.2408,19.4356
2693,-99.2287,19.4357
2697,-99.2462,19.4267
2706,-99.2292,19.4236
2746,-99.2468,19.5149
2751,-99.2693,19.5121
2779,-99.2579,19.4994
3377,-99.0518,19.4119
2789,-99.2252,19.5004
2819,-99.2193,19.4926
2838,-99.2588,19.4755
2839,-99.2586,19.4727
2844,-99.2283,19.4850
2845,-99.2273,19.4850
2846,-99.2241,19.4802
2847,-99.2237,19.4857
2848,-99.2218,19.4883
2849,-99.2208,19.4864
2850,-99.2189,19.4854
2852,-99.2231,19.4832
2866,-99.2143,19.4688
2868,-99.2256,19.4705
2873,-99.2289,19.4606
2886,-99.2215,19.4547
2890,-99.2624,19.4873
3057,-98.9927,19.4110
3060,-98.9986,19.4139
3064,-98.9994,19.4118
3067,-98.9923,19.4083
3068,-98.9899,19.4071
3088,-99.0040,19.4089
3090,-98.9997,19.4068
3091,-98.9981,19.4061
3092,-98.9964,19.4052
3093,-98.9921,19.4032
3094,-98.9940,19.4041
3096,-98.9861,19.4033
3097,-98.9823,19.3979
3098,-99.0134,19.4099
3103,-99.0205,19.4122
3126,-99.0451,19.4867
3132,-99.0632,19.4936
3160,-99.0511,19.4842
3208,-99.0433,19.4684
3233,-99.0448,19.4373
3241,-99.0453,19.4336
3242,-99.0490,19.4346
3244,-99.0477,19.4311
3245,-99.0452,19.4305
3246,-99.0427,19.4298
3247,-99.0402,19.4292
3262,-99.0483,19.4229
3263,-99.0472,19.4216
3264,-99.0437,19.4228
3265,-99.0445,19.4214
3266,-99.0450,19.4199
3267,-99.0420,19.4204
3268,-99.0402,19.4201
3270,-99.0481,19.4180
3271,-99.0495,19.4185
3272,-99.0512,19.4191
3273,-99.0527,19.4196
3274,-99.0539,19.4200
3275,-99.0553,19.4206
3276,-99.0553,19.4172
3279,-99.0510,19.4153
3291,-99.0343,19.4246
3292,-99.0356,19.4233
3294,-99.0325,19.4220
3295,-99.0306,19.4229
3296,-99.0293,19.4226
3297,-99.0276,19.4222
3298,-99.0249,19.4219
3299,-99.0231,19.4209
3300,-99.0225,19.4268
3301,-99.0209,19.4206
3302,-99.0196,19.4201
3304,-99.0203,19.4169
3313,-99.0369,19.4191
3314,-99.0354,19.4179
3315,-99.0339,19.4173
3316,-99.0327,19.4167
3317,-99.0317,19.4163
3318,-99.0304,19.4161
3325,-99.0280,19.4160
3326,-99.0295,19.4142
3331,-99.0246,19.4092
3358,-99.0343,19.4091
3359,-99.0326,19.4083
3361,-99.0267,19.4054
3362,-99.0278,19.4035
3363,-99.0295,19.4045
3364,-99.0308,19.4050
3365,-99.0325,19.4049
3369,-99.0403,19.4097
3370,-99.0412,19.4079
3371,-99.0421,19.4105
3392,-99.0378,19.4048
3399,-99.0466,19.4064
3405,-99.0336,19.4007
3406,-99.0318,19.3999
3418,-99.0370,19.3997
3419,-99.0344,19.3986
3428,-99.0514,19.4029
3441,-99.0363,19.3947
3459,-99.0191,19.4090
3462,-99.0133,19.4062
3463,-99.0107,19.4050
3465,-99.0082,19.4012
3470,-99.0178,19.4059
3472,-99.0210,19.4074
3474,-99.0238,19.4064
3475,-99.0220,19.4055
3476,-99.0204,19.4048
3493,-99.0173,19.3985
3500,-99.0205,19.3976
3514,-98.9986,19.4038
3515,-98.9961,19.4026
3520,-98.9828,19.3951
3521,-98.9840,19.3951
3524,-98.9852,19.3952
3526,-98.9913,19.3982
3528,-98.9966,19.4007
3530,-99.0015,19.4031
3536,-98.9951,19.3976
3537,-98.9931,19.3966
3538,-98.9916,19.3959
3540,-98.9886,19.3944
3541,-98.9869,19.3936
3543,-98.9831,19.3918
3544,-98.9795,19.3900
3545,-98.9929,19.3939
3546,-98.9948,19.3949
3547,-98.9968,19.3959
3559,-98.9940,19.3918
3560,-98.9948,19.3883
3561,-98.9955,19.3891
3562,-98.9966,19.3893
3564,-98.9990,19.3907
3565,-99.0001,19.3913
3567,-99.0082,19.3965
3569,-99.0075,19.3937
3570,-99.0063,19.3926
3573,-99.0044,19.3904
3574,-99.0028,19.3902
3575,-98.9968,19.3860
3576,-98.9991,19.3871
3577,-99.0014,19.3882
3582,-99.0250,19.3946
3598,-98.9994,19.3854
3599,-99.0036,19.3854
3601,-99.0017,19.3843
3602,-99.0005,19.3837
3603,-98.9990,19.3826
3610,-99.0070,19.3827
3630,-98.9988,19.3741
3631,-98.9997,19.3746
3634,-99.0057,19.3774
3650,-98.9909,19.3930
3651,-98.9883,19.3918
3655,-98.9804,19.3869
3661,-98.9901,19.3898
3662,-98.9913,19.3904
3665,-98.9928,19.3877
3671,-98.9722,19.3736
3672,-98.9731,19.3748
3673,-98.9746,19.3754
3674,-98.9760,19.3761
3680,-98.9864,19.3812
3682,-98.9902,19.3828
3684,-98.9946,19.3849
3685,-98.9951,19.3833
3687,-98.9884,19.3797
3693,-98.9787,19.3740
3694,-98.9772,19.3736
3698,-98.9807,19.3712
3699,-98.9827,19.3713
3701,-98.9835,19.3733
3703,-98.9864,19.3768
3707,-98.9946,19.3806
3708,-98.9960,19.3813
3709,-98.9975,19.3821
3711,-98.9903,19.3767
3713,-98.9883,19.3737
3718,-98.9909,19.3708
3719,-98.9931,19.3719
3957,-98.9709,19.3677
3789,-99.2796,19.6013
3790,-99.2758,19.5993
3791,-99.2793,19.5960
3773,-99.2881,19.6075
3958,-98.9722,19.3689
3782,-99.2717,19.6038
3808,-99.3718,19.6379
3962,-98.9794,19.3688
3963,-98.9821,19.3663
3966,-98.9887,19.3668
3967,-98.9895,19.3617
3969,-98.9808,19.3651
3970,-98.9796,19.3643
3973,-98.9746,19.3638
3974,-98.9732,19.3630
3975,-98.9715,19.3627
4864,-99.2232,19.5157
3978,-98.9650,19.3655
3992,-98.9738,19.3585
3993,-98.9725,19.3572
3956,-98.9695,19.3667
3984,-98.9621,19.3512
3985,-98.9665,19.3634
3986,-98.9676,19.3618
3988,-98.9733,19.3598
3989,-98.9803,19.3605
3990,-98.9843,19.3609
3991,-98.9813,19.3584
3994,-98.9697,19.3552
3995,-98.9758,19.3550
3996,-98.9836,19.3571
3997,-98.9785,19.3564
3999,-98.9850,19.3512
4001,-98.9768,19.3484
4198,-98.9698,19.7871
4199,-98.9880,19.7754
4201,-98.9902,19.7685
4202,-98.9800,19.7657
4192,-98.9664,19.7141
4193,-99.0142,19.7093
4188,-98.9699,19.7072
4189,-98.9760,19.7238
4190,-98.9641,19.7186
4212,-98.9769,19.6991
4242,-99.0283,19.6716
5635,-99.1396,19.6339
4902,-99.1701,19.5508
4867,-99.2193,19.5109
4649,-98.8824,19.4788
4760,-99.1076,19.5310
4839,-99.2208,19.5361
4840,-99.2161,19.5389
4842,-99.2284,19.5266
4843,-99.2334,19.5260
4851,-99.2195,19.5225
4847,-99.2303,19.5220
4848,-99.2245,19.5249
4849,-99.2240,19.5219
6338,-99.0212,19.6222
4852,-99.2163,19.5222
4853,-99.2145,19.5205
4855,-99.2324,19.5203
4871,-99.1882,19.5585
4876,-99.1745,19.5520
4877,-99.1739,19.5547
4906,-99.1732,19.5455
4916,-99.1934,19.5489
4922,-99.1931,19.5407
4925,-99.1844,19.5437
4947,-99.1766,19.5338
4948,-99.1795,19.5362
4950,-99.1884,19.5380
4951,-99.1896,19.5403
4953,-99.1816,19.5315
4965,-99.2132,19.5552
4966,-99.2116,19.5591
4975,-99.2200,19.5505
4976,-99.2233,19.5483
4983,-99.2222,19.5424
4984,-99.2168,19.5427
4994,-99.2026,19.5352
4998,-99.2332,19.5365
5000,-99.2181,19.5329
5011,-99.2147,19.5293
5012,-99.2175,19.5297
5013,-99.2210,19.5295
5018,-99.2072,19.5258
5029,-99.2107,19.5255
5030,-99.2144,19.5254
5031,-99.2137,19.5241
5032,-99.2111,19.5241
5044,-99.1911,19.5174
5050,-99.1731,19.5179
5069,-99.1652,19.5104
5071,-99.1593,19.5057
5072,-99.1618,19.5066
5073,-99.1644,19.5071
5074,-99.1667,19.5081
5100,-99.2052,19.5727
5101,-99.2110,19.5741
5102,-99.2123,19.5680
5103,-99.2098,19.5664
5105,-99.2028,19.5711
5179,-99.6374,19.3016
5224,-99.6574,19.2836
5227,-99.6479,19.2825
5248,-99.6370,19.2749
5252,-99.6462,19.2727
5254,-99.6662,19.2721
5258,-99.6664,19.2687
5314,-99.6429,19.2856
5316,-99.6833,19.2857
5317,-99.6930,19.2856
5318,-99.6905,19.2813
5320,-99.6811,19.2806
5321,-99.6380,19.2809
5322,-99.6336,19.2798
5336,-99.6786,19.2744
5346,-99.6546,19.2558
5485,-99.1714,19.6493
5486,-99.1757,19.6470
5488,-99.1822,19.6416
5420,-99.7056,19.2635
5490,-99.1743,19.6433
5483,-99.1584,19.6523
5482,-99.1670,19.6498
5484,-99.1655,19.6458
5491,-99.1762,19.6381
5492,-99.1702,19.6365
5493,-99.1614,19.6384
5494,-99.1686,19.6292
5521,-99.1776,19.6074
5542,-99.1758,19.5985
5564,-99.1882,19.5836
5653,-99.1581,19.6295
5948,-98.9499,19.3424
5825,-99.7302,19.2909
5949,-98.9478,19.3398
5951,-98.9506,19.3373
5952,-98.9527,19.3393
5953,-98.9522,19.3409
5947,-98.9481,19.3448
6015,-99.0257,19.6136
6100,-98.8694,19.3224
6023,-99.0389,19.6070
6106,-98.8749,19.3189
6115,-98.8562,19.3120
6122,-98.8682,19.3090
6123,-98.8668,19.3087
6129,-98.8523,19.3088
6135,-98.8676,19.3028
6139,-98.8519,19.3052
6159,-98.8408,19.2931
6172,-99.1271,19.6391
6180,-99.1316,19.6310
6181,-99.1346,19.6311
6185,-99.2149,19.6995
6186,-99.2192,19.6981
6191,-99.2280,19.6918
6192,-99.2244,19.6921
6193,-99.2222,19.6938
6195,-99.2190,19.6936
6197,-99.2279,19.6870
6199,-99.2328,19.6880
6202,-99.2357,19.6872
6206,-99.2285,19.6842
6236,-98.8992,19.3101
6246,-98.8939,19.3024
6248,-98.8928,19.3049
6271,-99.0479,19.6395
6300,-99.0195,19.6276
6323,-99.0202,19.6253
6439,-99.5789,19.3695
6442,-99.5808,19.3631
6446,-99.5871,19.3662
6448,-99.5824,19.3649
6449,-99.5867,19.3648
6452,-99.5891,19.3614
6459,-99.5985,19.3549
6486,-99.0133,19.5892
6487,-99.0167,19.5912
6483,-99.0159,19.5931
